Time [s],Packet ID,MOSI,MISO
2.304880000000000,0,0x02,0x01
2.321421000000000,,0x00,0x00
2.338083000000000,,0xFE,0x00
11.781027999999999,,0xFE,0x00
11.797813000000000,,0x60,0x60
11.814536000000000,,0x60,0x60
11.848045000000001,,0x60,0x60
11.864768000000000,,0x60,0x60
11.883139999999999,,0x60,0x60
11.898216000000000,,0x60,0x60
11.914999999999999,,0x60,0x60
11.931785000000000,,0x70,0x60
11.948448000000001,,0x60,0x60
11.965171000000000,,0x60,0x60
11.981956000000000,,0x60,0x60
11.998680000000000,,0x60,0x60
12.015402999999999,,0x60,0x60
12.032188000000000,,0x00,0x00
12.048851000000001,,0x00,0x00
12.065696000000001,,0x00,0x00
12.082359000000000,,0x00,0x00
12.099144000000001,,0x00,0x00
12.118247999999999,,0x00,0x00
12.132591000000000,,0x00,0x00
12.149315000000000,,0x00,0x00
12.166038000000000,,0x00,0x00
12.768273000000001,,0x00,0x00
12.787316000000001,,0xD0,0xD0
12.801659000000001,,0xF0,0xD0
12.868615000000000,,0xFF,0x00
12.885339000000000,,0x00,0xD0
12.902123000000000,,0xFE,0xD0
12.918847000000000,,0xFF,0xD0
12.935693000000001,,0xFE,0xD0
12.952355000000001,,0xE8,0xD0
12.969139999999999,,0xD0,0xD0
13.036035000000000,,0x00,0x00
13.052758000000001,,0xD8,0xD0
13.069542999999999,,0xD0,0xD0
13.136499000000001,,0x00,0x00
13.153222000000000,,0xD8,0xD0
13.170007000000000,,0xD0,0xD0
13.238671000000000,,0x00,0x00
13.253747000000001,,0xD8,0xD0
13.270471000000001,,0xD0,0xD0
13.337426000000001,,0x00,0x00
13.354150000000001,,0xD8,0xD0
13.370934999999999,,0xD0,0xD0
13.437889999999999,,0x00,0x00
13.454675000000000,,0xD8,0xD0
13.473046999999999,,0xD0,0xD0
13.538354000000000,,0x00,0x00
13.555078000000000,,0xFE,0xD0
13.571802000000000,,0xD0,0xD0
13.588647999999999,,0xD0,0xD0
13.655664000000000,,0x00,0x00
13.672326999999999,,0xD0,0xD0
13.690759000000000,,0x50,0xD0
13.756005999999999,,0x00,0x00
13.772729999999999,,0xFE,0xD0
13.789574999999999,,0x50,0xD0
